product_id,product_name,category_id,unit_price,cost,is_active
1,Pro Desk Lamp,3,321.1,180.08,True
2,Compact Blender,4,332.83,141.07,True
3,Essential Backpack,2,341.27,182.53,True
4,Compact Board Game,4,273.69,178.0,True
5,Compact Water Bottle,7,415.34,192.04,True
6,Essential Desk Lamp,4,43.07,25.83,True
7,Essential Water Bottle,7,28.64,18.39,True
8,Pro Notebook,9,495.36,209.86,True
9,Classic Backpack,5,444.4,208.24,True
10,Wireless Board Game,9,409.97,280.26,True
11,Compact Bluetooth Speaker,3,381.78,187.23,True
12,Wireless Desk Lamp,10,76.22,32.65,True
13,Compact Garden Hose,9,469.28,274.36,True
14,Pro Yoga Mat,1,304.76,185.8,True
15,Compact Yoga Mat,8,350.02,160.06,True
16,Compact Board Game,2,128.09,75.83,True
17,Wireless Backpack,7,131.72,54.26,False
18,Portable Phone Case,8,368.54,140.14,True
19,Essential Office Chair,5,488.22,202.98,True
20,Wireless Blender,8,169.34,92.21,True
21,Compact Skincare Set,7,429.76,202.62,True
22,Deluxe Skincare Set,7,18.29,11.33,True
23,Wireless Backpack,10,100.77,54.82,False
24,Essential Headphones,2,223.52,78.87,True
25,Compact Backpack,8,130.22,62.72,False
26,Premium Phone Case,3,242.14,101.28,True
27,Wireless Backpack,7,168.15,111.05,True
28,Classic Garden Hose,4,75.89,37.39,True
29,Classic Cat Tree,9,481.34,201.92,False
30,Wireless Headphones,3,304.56,116.0,True
31,Wireless Board Game,6,287.81,119.71,True
32,Portable Running Shoes,1,146.13,62.25,True
33,Deluxe Bluetooth Speaker,9,179.42,91.22,True
34,Classic Skincare Set,8,22.78,12.91,True
35,Compact Office Chair,5,335.39,202.09,True
36,Deluxe Garden Hose,9,319.43,207.71,True
37,Premium Phone Case,2,104.0,60.74,True
38,Essential Desk Lamp,4,202.51,116.27,True
39,Deluxe Skincare Set,7,203.79,108.48,True
40,Classic Garden Hose,3,304.26,166.59,True
41,Deluxe Garden Hose,8,36.8,13.1,True
42,Compact Headphones,1,478.77,286.31,True
43,Wireless Backpack,7,330.28,209.5,True
44,Classic Coffee Maker,4,452.04,297.86,True
45,Classic Board Game,1,299.19,202.06,True
46,Deluxe Coffee Maker,6,67.45,26.36,True
47,Essential Running Shoes,3,272.75,170.05,True
48,Wireless Office Chair,8,333.72,226.72,True
49,Portable Cat Tree,5,98.51,49.34,False
