order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,28,1,75.89,0.0
2,2,60,4,353.64,0.0
3,3,97,3,322.01,0.0
4,3,146,2,429.95,0.0
5,3,94,2,414.66,0.0
6,3,15,1,350.02,0.0
7,4,53,4,110.68,16.6
8,4,2,2,332.83,33.28
9,4,102,2,139.64,0.0
10,4,136,2,396.02,39.6
11,4,27,3,168.15,33.63
12,5,133,1,328.02,49.2
13,6,98,1,187.8,0.0
14,6,129,4,237.02,0.0
15,6,41,1,36.8,0.0
16,6,36,4,319.43,47.91
17,7,143,1,107.53,16.13
18,7,122,2,425.68,85.14
19,8,88,4,269.25,26.93
20,8,40,2,304.26,60.85
21,8,26,3,242.14,0.0
22,8,77,4,208.09,41.62
23,8,35,2,335.39,50.31
24,9,80,1,413.08,0.0
25,9,126,4,131.53,13.15
26,9,111,1,11.12,0.0
27,10,130,2,43.77,8.75
28,10,7,3,28.64,4.3
29,11,33,1,179.42,26.91
30,12,55,1,42.68,0.0
31,12,101,4,127.41,25.48
32,12,68,3,136.7,0.0
33,12,45,4,299.19,29.92
34,12,30,3,304.56,45.68
35,13,18,3,368.54,0.0
36,13,127,4,222.52,44.5
37,13,132,2,89.04,0.0
38,13,101,2,127.41,12.74
39,13,117,4,491.5,0.0
40,14,50,2,320.93,32.09
41,14,93,3,155.24,15.52
42,14,57,1,188.77,18.88
43,15,129,3,237.02,0.0
44,16,89,3,15.3,1.53
45,16,54,2,34.49,0.0
46,17,58,3,336.01,0.0
47,17,115,1,377.52,0.0
48,17,52,2,98.97,14.85
49,17,132,2,89.04,17.81
50,18,120,4,335.74,0.0
51,18,116,4,377.29,0.0
52,19,104,2,172.41,17.24
53,20,112,3,211.58,0.0
54,20,46,1,67.45,10.12
55,20,48,4,333.72,0.0
56,20,10,1,409.97,0.0
57,21,4,4,273.69,0.0
58,21,37,3,104.0,10.4
59,22,97,1,322.01,0.0
60,22,100,1,270.76,0.0
61,23,150,1,104.02,0.0
62,23,70,3,246.27,0.0
63,24,141,2,328.57,0.0
64,24,12,4,76.22,7.62
65,24,50,4,320.93,0.0
66,25,150,3,104.02,0.0
67,25,144,2,201.38,40.28
68,25,115,2,377.52,0.0
69,26,135,1,236.07,0.0
70,26,8,1,495.36,74.3
71,26,113,4,109.63,16.44
72,26,92,1,218.76,43.75
73,27,6,4,43.07,0.0
74,27,141,1,328.57,49.29
75,27,30,2,304.56,30.46
76,27,107,4,110.67,16.6
77,28,54,2,34.49,3.45
78,28,74,4,278.72,0.0
79,28,27,1,168.15,0.0
80,29,65,2,416.07,0.0
81,29,79,2,190.04,28.51
82,29,129,2,237.02,35.55
83,30,80,4,413.08,82.62
84,30,129,2,237.02,35.55
85,30,123,3,77.17,0.0
86,30,130,4,43.77,0.0
87,30,63,3,142.21,0.0
88,31,97,4,322.01,32.2
89,31,40,1,304.26,30.43
90,31,59,3,189.39,28.41
91,31,24,4,223.52,22.35
92,32,79,3,190.04,19.0
93,32,94,3,414.66,62.2
94,33,64,2,64.91,0.0
95,34,146,1,429.95,64.49
96,34,67,2,351.2,0.0
97,34,137,4,142.56,28.51
98,35,125,3,269.3,26.93
99,35,14,1,304.76,0.0
100,35,100,4,270.76,40.61
101,35,79,2,190.04,0.0
102,35,135,4,236.07,47.21
103,36,97,1,322.01,32.2
104,37,130,2,43.77,0.0
105,37,6,3,43.07,0.0
106,37,94,2,414.66,0.0
107,38,125,4,269.3,40.4
108,38,103,2,233.36,0.0
109,38,96,3,498.77,99.75
110,39,134,4,444.99,0.0
111,39,4,4,273.69,41.05
112,39,59,1,189.39,37.88
113,40,27,4,168.15,33.63
114,40,135,3,236.07,0.0
115,40,140,3,224.28,0.0
116,40,150,2,104.02,15.6
117,40,32,1,146.13,0.0
118,41,89,4,15.3,3.06
119,42,27,3,168.15,33.63
120,42,89,2,15.3,0.0
121,42,50,3,320.93,0.0
122,43,46,4,67.45,0.0
123,43,35,4,335.39,33.54
124,44,37,1,104.0,15.6
125,44,124,4,241.15,48.23
126,44,79,4,190.04,19.0
127,45,72,2,242.78,36.42
128,45,34,4,22.78,0.0
129,45,68,2,136.7,27.34
130,45,36,3,319.43,0.0
131,46,74,3,278.72,41.81
132,46,9,4,444.4,0.0
133,47,122,3,425.68,0.0
134,47,85,2,256.09,0.0
135,48,146,3,429.95,0.0
136,49,102,4,139.64,0.0
137,49,60,1,353.64,0.0
138,49,42,3,478.77,0.0
139,49,21,1,429.76,0.0
140,50,82,3,437.52,87.5
141,50,38,2,202.51,0.0
142,50,47,2,272.75,0.0
143,50,28,4,75.89,11.38
144,51,111,4,11.12,0.0
145,52,93,4,155.24,0.0
146,52,92,3,218.76,21.88
147,53,73,3,298.52,44.78
148,54,16,1,128.09,19.21
149,54,130,3,43.77,8.75
150,55,74,4,278.72,41.81
151,55,83,3,129.83,0.0
152,55,37,1,104.0,20.8
153,56,65,3,416.07,0.0
154,56,99,2,325.08,65.02
155,56,28,3,75.89,7.59
156,56,149,3,499.81,99.96
157,57,6,1,43.07,0.0
158,57,8,3,495.36,0.0
159,57,60,4,353.64,70.73
160,57,72,2,242.78,36.42
161,57,141,2,328.57,0.0
162,58,132,3,89.04,0.0
163,58,73,2,298.52,0.0
164,58,65,1,416.07,41.61
165,58,42,1,478.77,0.0
166,58,19,3,488.22,73.23
167,59,94,3,414.66,62.2
168,59,85,4,256.09,0.0
169,59,36,4,319.43,47.91
170,60,79,2,190.04,19.0
171,60,27,4,168.15,0.0
172,61,134,1,444.99,44.5
173,61,57,1,188.77,0.0
174,61,85,1,256.09,0.0
175,61,88,1,269.25,0.0
176,62,103,4,233.36,46.67
177,62,105,2,223.61,0.0
178,62,147,1,15.84,1.58
179,62,107,1,110.67,0.0
180,63,64,4,64.91,6.49
181,63,109,2,270.39,54.08
182,63,62,4,399.48,59.92
183,63,126,4,131.53,0.0
184,64,22,2,18.29,2.74
185,64,58,2,336.01,50.4
186,64,13,1,469.28,93.86
187,64,103,4,233.36,35.0
188,65,149,2,499.81,74.97
189,65,31,4,287.81,28.78
190,65,24,4,223.52,0.0
191,66,39,2,203.79,30.57
192,66,94,3,414.66,41.47
193,66,32,2,146.13,14.61
194,66,83,4,129.83,25.97
195,66,8,4,495.36,74.3
196,67,126,1,131.53,26.31
197,67,13,2,469.28,0.0
198,67,76,3,127.04,0.0
199,67,80,4,413.08,0.0
200,67,124,4,241.15,36.17
201,68,126,4,131.53,0.0
202,68,85,2,256.09,0.0
203,69,88,1,269.25,0.0
204,70,107,1,110.67,16.6
205,71,88,4,269.25,53.85
206,71,130,1,43.77,0.0
207,72,103,1,233.36,0.0
208,72,102,2,139.64,13.96
209,72,96,4,498.77,99.75
210,73,146,1,429.95,0.0
211,73,105,1,223.61,0.0
212,74,126,3,131.53,26.31
213,75,52,3,98.97,0.0
214,75,34,4,22.78,4.56
215,75,125,4,269.3,26.93
216,75,33,3,179.42,0.0
217,75,93,1,155.24,0.0
218,76,13,4,469.28,0.0
219,76,68,2,136.7,0.0
220,76,5,3,415.34,62.3
221,76,41,4,36.8,0.0
222,76,135,1,236.07,0.0
223,77,139,2,262.86,39.43
224,77,63,3,142.21,0.0
225,78,7,2,28.64,4.3
226,78,97,1,322.01,48.3
227,78,58,1,336.01,67.2
228,78,31,3,287.81,28.78
229,79,93,2,155.24,0.0
230,79,129,4,237.02,0.0
231,80,58,4,336.01,0.0
232,80,38,1,202.51,0.0
233,80,97,3,322.01,48.3
234,80,127,4,222.52,0.0
235,80,145,4,27.77,5.55
236,81,125,1,269.3,0.0
237,82,47,4,272.75,54.55
238,83,93,4,155.24,15.52
239,83,134,1,444.99,0.0
240,83,26,3,242.14,48.43
241,83,27,4,168.15,25.22
242,83,105,4,223.61,44.72
243,84,1,1,321.1,64.22
244,84,28,2,75.89,11.38
245,84,135,1,236.07,0.0
246,84,72,2,242.78,48.56
247,85,54,1,34.49,5.17
248,85,63,2,142.21,0.0
249,85,114,3,93.0,0.0
250,85,140,1,224.28,33.64
251,86,137,1,142.56,14.26
252,86,22,3,18.29,2.74
253,86,100,2,270.76,0.0
254,86,68,4,136.7,0.0
255,87,53,1,110.68,11.07
256,87,24,2,223.52,44.7
257,87,19,1,488.22,73.23
258,88,136,1,396.02,79.2
259,88,59,2,189.39,0.0
260,88,40,1,304.26,60.85
261,89,97,3,322.01,0.0
262,89,54,2,34.49,6.9
263,89,47,4,272.75,0.0
264,89,110,2,130.63,19.59
265,90,99,1,325.08,32.51
266,90,131,1,10.91,0.0
267,90,79,1,190.04,38.01
268,91,94,4,414.66,0.0
269,91,19,2,488.22,97.64
270,91,18,1,368.54,73.71
271,91,92,2,218.76,43.75
272,92,139,3,262.86,0.0
273,92,90,1,490.37,49.04
