user_id,signup_date,event_name,event_timestamp
1,2025-02-25,signup,2025-02-25
1,2025-02-25,activated,2025-02-25
2,2025-06-25,signup,2025-06-25
3,2025-10-15,signup,2025-10-15
3,2025-10-15,activated,2025-10-16
3,2025-10-15,engaged,2025-10-25
3,2025-10-15,upgraded,2025-10-25
3,2025-10-15,engaged,2025-11-19
4,2025-10-21,signup,2025-10-21
4,2025-10-21,activated,2025-10-23
4,2025-10-21,engaged,2025-10-22
4,2025-10-21,engaged,2025-11-29
4,2025-10-21,engaged,2025-12-24
5,2025-01-16,signup,2025-01-16
5,2025-01-16,activated,2025-01-18
6,2025-07-10,signup,2025-07-10
7,2025-05-15,signup,2025-05-15
8,2025-12-26,signup,2025-12-26
9,2025-10-28,signup,2025-10-28
9,2025-10-28,activated,2025-10-28
10,2025-11-02,signup,2025-11-02
10,2025-11-02,activated,2025-11-02
10,2025-11-02,engaged,2025-11-06
10,2025-11-02,engaged,2025-12-10
10,2025-11-02,engaged,2026-01-07
11,2024-12-13,signup,2024-12-13
11,2024-12-13,activated,2024-12-14
11,2024-12-13,engaged,2024-12-16
12,2024-09-26,signup,2024-09-26
12,2024-09-26,activated,2024-09-26
13,2025-06-22,signup,2025-06-22
13,2025-06-22,activated,2025-06-23
14,2024-11-26,signup,2024-11-26
14,2024-11-26,activated,2024-11-26
14,2024-11-26,engaged,2024-11-30
14,2024-11-26,engaged,2024-12-30
14,2024-11-26,engaged,2025-02-04
14,2024-11-26,engaged,2025-03-01
15,2025-05-13,signup,2025-05-13
16,2025-06-26,signup,2025-06-26
17,2024-08-31,signup,2024-08-31
17,2024-08-31,activated,2024-09-02
18,2025-11-03,signup,2025-11-03
19,2025-03-03,signup,2025-03-03
19,2025-03-03,activated,2025-03-03
19,2025-03-03,engaged,2025-03-13
19,2025-03-03,engaged,2025-04-07
19,2025-03-03,engaged,2025-05-06
20,2024-12-01,signup,2024-12-01
20,2024-12-01,activated,2024-12-03
20,2024-12-01,engaged,2024-12-08
21,2025-06-11,signup,2025-06-11
21,2025-06-11,activated,2025-06-13
22,2025-05-21,signup,2025-05-21
22,2025-05-21,activated,2025-05-21
23,2025-12-25,signup,2025-12-25
24,2024-11-25,signup,2024-11-25
24,2024-11-25,activated,2024-11-27
24,2024-11-25,engaged,2024-11-25
24,2024-11-25,engaged,2024-12-28
24,2024-11-25,engaged,2025-01-31
25,2025-11-25,signup,2025-11-25
26,2025-06-23,signup,2025-06-23
26,2025-06-23,activated,2025-06-25
26,2025-06-23,engaged,2025-07-03
26,2025-06-23,engaged,2025-08-02
26,2025-06-23,engaged,2025-08-22
27,2024-08-10,signup,2024-08-10
28,2025-12-01,signup,2025-12-01
28,2025-12-01,activated,2025-12-01
29,2025-11-12,signup,2025-11-12
29,2025-11-12,activated,2025-11-15
30,2025-07-15,signup,2025-07-15
30,2025-07-15,activated,2025-07-17
30,2025-07-15,engaged,2025-07-15
31,2025-06-18,signup,2025-06-18
31,2025-06-18,activated,2025-06-19
32,2024-08-15,signup,2024-08-15
32,2024-08-15,activated,2024-08-16
32,2024-08-15,engaged,2024-08-17
32,2024-08-15,engaged,2024-09-15
32,2024-08-15,engaged,2024-10-19
32,2024-08-15,engaged,2024-11-23
32,2024-08-15,engaged,2024-12-16
