experiment_id,user_id,variant,assigned_at,converted
checkout_redesign,529,treatment,2025-08-23,0
checkout_redesign,2618,control,2024-12-03,0
checkout_redesign,720,treatment,2026-01-20,0
checkout_redesign,2463,control,2025-07-14,0
checkout_redesign,2602,treatment,2025-11-01,0
checkout_redesign,2590,control,2024-12-29,0
checkout_redesign,827,treatment,2026-01-11,0
checkout_redesign,2285,control,2025-10-25,0
checkout_redesign,2949,treatment,2025-08-11,0
checkout_redesign,538,control,2025-09-05,0
checkout_redesign,1228,treatment,2024-12-02,0
checkout_redesign,765,control,2025-03-25,0
checkout_redesign,333,treatment,2025-11-24,0
checkout_redesign,2084,control,2025-10-16,0
checkout_redesign,179,treatment,2025-05-21,0
checkout_redesign,1336,control,2026-01-04,0
checkout_redesign,1072,treatment,2025-03-01,0
checkout_redesign,560,control,2025-04-24,0
checkout_redesign,1612,treatment,2025-02-08,0
checkout_redesign,2931,control,2026-01-31,0
checkout_redesign,1011,treatment,2025-12-23,0
checkout_redesign,745,control,2025-12-20,0
checkout_redesign,933,treatment,2024-12-27,0
checkout_redesign,662,control,2025-12-03,0
checkout_redesign,498,treatment,2025-10-15,0
checkout_redesign,1389,control,2024-10-26,0
checkout_redesign,858,treatment,2025-01-12,0
checkout_redesign,586,control,2025-01-16,0
checkout_redesign,442,treatment,2025-04-02,0
checkout_redesign,1236,control,2025-07-22,0
checkout_redesign,1952,treatment,2024-10-06,0
checkout_redesign,1962,control,2026-01-09,0
checkout_redesign,791,treatment,2026-01-10,0
checkout_redesign,1341,control,2024-09-25,0
checkout_redesign,422,treatment,2025-08-07,0
checkout_redesign,2977,control,2025-12-25,0
checkout_redesign,776,treatment,2025-10-25,0
checkout_redesign,1507,control,2025-01-05,0
checkout_redesign,653,treatment,2025-05-18,0
checkout_redesign,1906,control,2025-02-27,0
checkout_redesign,189,treatment,2025-07-13,0
checkout_redesign,805,control,2025-05-30,0
checkout_redesign,2374,treatment,2025-01-09,0
checkout_redesign,1894,control,2024-12-27,0
checkout_redesign,1154,treatment,2025-08-22,0
checkout_redesign,931,control,2024-12-10,0
checkout_redesign,2368,treatment,2025-06-16,0
checkout_redesign,726,control,2025-03-20,0
checkout_redesign,2875,treatment,2025-03-02,0
checkout_redesign,2340,control,2025-05-28,0
checkout_redesign,193,treatment,2024-08-09,1
checkout_redesign,1418,control,2026-01-13,0
checkout_redesign,2692,treatment,2025-06-20,1
checkout_redesign,384,control,2024-07-29,0
checkout_redesign,1008,treatment,2024-09-17,0
checkout_redesign,1984,control,2025-06-12,0
checkout_redesign,2979,treatment,2025-06-16,0
checkout_redesign,2501,control,2026-01-27,0
checkout_redesign,1330,treatment,2026-01-01,0
checkout_redesign,2212,control,2025-08-29,0
checkout_redesign,841,treatment,2025-11-20,1
checkout_redesign,2446,control,2025-12-15,0
checkout_redesign,1714,treatment,2024-07-21,0
checkout_redesign,799,control,2024-10-10,0
checkout_redesign,1640,treatment,2025-12-18,0
checkout_redesign,258,control,2025-01-30,0
checkout_redesign,957,treatment,2025-11-18,0
checkout_redesign,2744,control,2025-08-17,0
checkout_redesign,1509,treatment,2025-09-23,0
checkout_redesign,70,control,2025-10-26,0
checkout_redesign,2604,treatment,2025-03-20,0
checkout_redesign,2878,control,2025-03-03,0
checkout_redesign,1157,treatment,2024-12-03,0
checkout_redesign,229,control,2025-01-01,1
checkout_redesign,939,treatment,2025-06-15,1
checkout_redesign,2383,control,2024-11-22,1
checkout_redesign,261,treatment,2025-02-14,0
checkout_redesign,802,control,2024-12-06,0
checkout_redesign,1491,treatment,2025-03-07,0
checkout_redesign,668,control,2026-01-24,0
checkout_redesign,1968,treatment,2025-07-23,0
checkout_redesign,1025,control,2025-05-01,0
checkout_redesign,151,treatment,2024-08-16,0
checkout_redesign,941,control,2024-11-03,0
checkout_redesign,413,treatment,2024-07-16,0
checkout_redesign,2434,control,2025-01-06,0
checkout_redesign,2021,treatment,2025-05-02,0
checkout_redesign,2345,control,2024-07-16,1
checkout_redesign,1733,treatment,2024-09-19,0
checkout_redesign,686,control,2025-10-31,0
checkout_redesign,2303,treatment,2025-03-11,0
checkout_redesign,268,control,2025-11-27,0
checkout_redesign,1095,treatment,2025-02-07,0
checkout_redesign,1891,control,2025-07-09,0
checkout_redesign,2325,treatment,2024-09-26,0
checkout_redesign,1661,control,2025-12-23,0
checkout_redesign,786,treatment,2024-09-02,1
checkout_redesign,1404,control,2025-03-06,0
checkout_redesign,985,treatment,2025-06-14,0
